date,cloud_cover,humidity,precipitation,min_temp,max_temp,max_wind_speed,wind_direction
2025-03-17,90.0,46.0,1.1,23.69,33.73,8.66,337.0
2025-03-18,99.0,48.0,0.0,23.09,32.31,9.04,325.0
2025-03-19,100.0,50.0,0.0,23.67,32.42,8.31,329.0
2025-03-20,53.0,44.0,0.0,23.36,32.34,7.15,162.0
2025-03-21,97.0,45.0,0.0,22.83,32.26,8.72,341.0
2025-03-22,54.0,45.0,0.0,21.92,32.57,7.95,343.0
2025-03-23,100.0,56.8,0.06,23.74,28.24,8.37,338.87
2025-03-17,90.0,46.0,1.1,23.69,33.73,8.66,337.0
2025-03-18,99.0,48.0,0.0,23.09,32.31,9.04,325.0
2025-03-19,100.0,50.0,0.0,23.67,32.42,8.31,329.0
2025-03-20,53.0,44.0,0.0,23.36,32.34,7.15,162.0
2025-03-21,97.0,45.0,0.0,22.83,32.26,8.72,341.0
2025-03-22,54.0,45.0,0.0,21.92,32.57,7.95,343.0
2025-03-23,100.0,56.8,0.06,23.74,28.24,8.37,338.87
